Author,Title,Year,YoutubeId,Region
Izabela Trojanowska,Wszystko czego dziś chcę,1980,olkNnmhMj7Y,PL
Maryla Rodowicz,Głowisia,1980,JUokJ7XDoZ0,PL
Andrzej Rosiewicz,Najwięcej witaminy,1980,8A-xV5hZ3Eg,PL
Perfect,Nie płacz Ewka,1981,G_oKsG8KRZI,PL
Maanam,Cykady na Cykladach,1981,mh8ZqQS1EPM,PL
Perfect,Chcemy być sobą,1981,1qeMxFRD100,PL
Krystyna Prońko,Psalm stojących w kolejce,1981,aU-3t8Wav7U,PL
Perfect,Autobiografia,1982,1n0MupX-7AM,PL
Budka Suflera,"Jolka, Jolka pamiętasz",1982,fYKfvvwsoAY,PL
Republika,Biała flaga,1982,gHUDbpI8Ulk,PL
Maanam,Nie rób tyle hałasu,1982,QcKYaAqQEj0,PL
Lady Pank,Mniej niż zero,1983,BNknWDWTSoc,PL
Bajm,"Józek, nie daruję ci tej nocy",1983,YdDFGal_ktU,PL
Maanam,Kocham cię kochanie moje,1983,nIncb6Gy2js,PL
Lady Pank,Kryzysowa narzeczona,1983,o71HQWqi68U,PL
Maanam,Krakowski spleen,1984,BqUpUtaS9VY,PL
Aya RL,Skóra,1984,1cFzJUX99Ck,PL
Lombard,Szklana pogoda,1984,SCrR7od_fck,PL
Kombi,Słodkiego miłego życia,1984,YMsQ5izhIDo,PL
Rezerwat,Zaopiekuj się mną,1985,WD7dDfZD1_8,PL
Mr. Zoob,Mój jest ten kawałek podłogi,1985,lqbFWLKjlP4,PL
Dżem,Whisky,1985,zfwGiieFkKo,PL
Brygada Kryzys,Centrala,1985,mS5jTh7RkEE,PL
Papa Dance,Naj story,1986,M7PZ9lwqK8Q,PL
Obywatel G.C.,Paryż-Moskwa,1986,JI9P7RsVn3M,PL
Zdzisława Sośnicka,Aleja gwiazd,1986,Ziqujo1O7rw,PL
Halina Frąckowiak,Papierowy księżyc,1986,rlkzBab-wjA,PL
Sztywny Pal Azji,"Wieża radości, wieża samotności",1987,8igBzhNflNg,PL
Tilt,"Mówię ci, że",1987,_kmYJXd2d5s,PL
Kult,Polska,1987,x3kicEsx7g0,PL
Obywatel G.C.,Nie pytaj o Polskę,1988,cSjk6phf3iY,PL
Kult,Arahja,1988,_vw2K0AgFF0,PL
Papa Dance,Nasz ostatni raz,1988,IFV7T8gey3I,PL
Lady Pank,To co mam,1988,F4qdgGxdfKg,PL
De Mono,Kochać inaczej,1989,PElie5a5q_Y,PL
Chłopcy z Placu Broni,Kocham wolność,1989,nYMiNuJJyYM,PL
Chłopcy z Placu Broni,Kocham cię,1989,n7fXVp9YNQw,PL
Tilt,Jeszcze będzie przepięknie,1989,XsgQNfXaAHY,PL
Lady Pank,Zawsze tam gdzie ty,1990,fyoCXePXQF0,PL
Elektryczne Gitary,Włosy,1990,2_fxoL0DjyE,PL
